gender,race/ethnicity,parental level of education,math score,reading score,writing score
female,group D,high school,49,57,52
female,group B,associate's degree,73,76,80
male,group B,bachelor's degree,66,60,57
male,group D,bachelor's degree,67,61,68
female,group C,associate's degree,68,67,69
female,group C,bachelor's degree,59,64,75
male,group C,high school,71,66,65
female,group D,master's degree,77,82,91
male,group C,associate's degree,83,72,78
male,group B,bachelor's degree,63,71,69
female,group D,associate's degree,56,65,63
female,group C,high school,67,79,84
female,group E,high school,75,86,79
female,group C,some college,71,81,80
female,group C,some high school,43,53,53
female,group C,high school,41,46,43
female,group C,some college,82,90,94
male,group C,some college,61,61,62
male,group A,some college,28,23,19
male,group C,associate's degree,82,75,77
female,group B,some high school,41,55,51
male,group C,high school,71,60,61
male,group C,associate's degree,47,37,35
male,group E,associate's degree,62,56,53
male,group B,associate's degree,90,78,81
female,group C,bachelor's degree,83,93,95
female,group B,some college,61,68,66
male,group D,some high school,76,70,69
male,group C,associate's degree,49,51,43
female,group B,some high school,24,38,27
female,group D,some high school,35,55,60
male,group C,high school,58,61,52
female,group C,high school,61,73,63
female,group B,high school,69,76,74
male,group D,associate's degree,67,72,67
male,group D,some college,79,73,67
female,group C,high school,72,80,75
male,group B,some college,62,61,57
female,group C,bachelor's degree,77,94,95
male,group D,high school,75,74,66
male,group E,associate's degree,87,74,76
female,group B,bachelor's degree,52,65,69
male,group E,some college,66,57,52
female,group C,some college,63,78,80
female,group C,associate's degree,46,58,57
female,group C,some college,59,71,70
female,group B,bachelor's degree,61,72,70
male,group A,associate's degree,63,61,61
female,group C,some college,42,66,69
male,group D,some college,59,62,61
female,group D,some college,80,90,89
female,group B,high school,58,62,59
male,group B,some high school,85,84,78
female,group C,some college,52,58,58
female,group D,some high school,27,34,32
male,group C,some college,59,60,58
male,group A,bachelor's degree,49,58,60
male,group C,high school,69,58,53
male,group C,bachelor's degree,61,66,61
female,group A,some high school,44,64,58
female,group D,some high school,73,84,85
male,group E,some college,84,77,71
female,group C,some college,45,73,70
male,group D,some high school,74,74,72
female,group D,some college,82,97,96
female,group D,bachelor's degree,59,70,73
male,group E,associate's degree,46,43,41
female,group D,some high school,80,90,82
female,group D,master's degree,85,95,100
female,group A,some high school,71,83,77
male,group A,bachelor's degree,66,64,62
female,group B,associate's degree,80,86,83
male,group C,associate's degree,87,100,95
male,group C,master's degree,79,81,71
female,group E,some high school,38,49,45
female,group A,some high school,38,43,43
female,group E,some college,67,76,75
female,group E,bachelor's degree,64,73,70
female,group C,associate's degree,57,78,67
female,group D,high school,62,64,64
male,group D,master's degree,73,70,75
male,group E,some high school,73,67,59
female,group D,some college,77,68,77
male,group E,some college,76,67,67
male,group C,associate's degree,57,54,56
female,group C,some high school,65,74,77
male,group A,high school,48,45,41
female,group B,high school,50,67,63
female,group C,associate's degree,85,89,95
male,group B,some high school,74,63,57
male,group D,some high school,60,59,54
female,group C,some high school,59,54,67
male,group A,some college,53,43,43
female,group A,some college,49,65,55
female,group D,high school,88,99,100
female,group C,high school,54,59,62
female,group C,some high school,63,73,68
male,group B,associate's degree,65,65,63
female,group B,associate's degree,82,80,77
female,group D,high school,52,57,56
male,group D,associate's degree,87,84,85
female,group D,master's degree,70,71,74
male,group E,some college,84,83,78
male,group D,associate's degree,71,66,60
male,group B,some high school,63,67,67
female,group C,bachelor's degree,51,72,79
male,group E,high school,84,73,69
male,group C,bachelor's degree,71,74,68
male,group C,associate's degree,74,73,67
male,group D,some college,68,59,62
male,group E,high school,57,56,54
female,group C,associate's degree,82,93,93
female,group D,high school,57,58,64
female,group D,master's degree,47,58,67
female,group A,some high school,59,85,80
male,group B,some college,41,39,34
female,group C,some college,62,67,62
male,group C,bachelor's degree,86,83,86
male,group C,some high school,69,71,65
male,group A,some high school,65,59,53
male,group C,some high school,68,63,54
male,group C,associate's degree,64,66,59
female,group C,high school,61,72,70
male,group C,high school,61,56,55
female,group A,some high school,47,59,50
male,group C,some high school,73,66,66
male,group C,some college,50,48,53
male,group D,associate's degree,75,68,64
male,group D,associate's degree,75,66,73
male,group C,high school,70,56,51
male,group D,some high school,89,88,82
female,group C,some college,67,81,79
female,group D,high school,78,81,80
female,group A,some high school,59,73,69
female,group B,associate's degree,73,83,76
male,group A,some high school,79,82,73
female,group C,some high school,67,74,77
male,group D,some college,69,66,60
male,group C,high school,86,81,80
male,group B,high school,47,46,42
male,group B,associate's degree,81,73,72
female,group C,some college,64,85,85
female,group E,some college,100,92,97
female,group C,associate's degree,65,77,74
male,group C,some college,65,58,49
female,group C,associate's degree,53,61,62
male,group C,bachelor's degree,37,56,47
female,group D,bachelor's degree,79,89,89
male,group D,associate's degree,53,54,48
female,group E,bachelor's degree,100,100,100
male,group B,high school,72,65,68
male,group C,bachelor's degree,53,58,55
male,group B,some college,54,54,45
female,group E,some college,71,70,76
female,group C,some college,77,90,91
male,group A,bachelor's degree,75,58,62
female,group C,some college,84,87,91
female,group D,associate's degree,26,31,38
male,group A,high school,72,67,65
female,group A,high school,77,88,85
male,group C,some college,91,74,76
female,group C,associate's degree,83,85,90
female,group C,high school,63,69,74
female,group C,associate's degree,68,86,84
female,group D,some high school,59,67,61
female,group B,associate's degree,90,90,91
female,group D,bachelor's degree,71,76,83
male,group E,bachelor's degree,76,62,66
male,group D,associate's degree,80,68,72
female,group D,master's degree,55,64,70
male,group E,associate's degree,76,71,67
male,group B,high school,73,71,68
female,group D,associate's degree,52,59,56
male,group C,some college,68,68,61
male,group A,high school,59,52,46
female,group B,associate's degree,49,52,54
male,group C,high school,70,74,71
male,group D,some college,61,47,56
female,group C,associate's degree,60,75,74
male,group B,some high school,64,53,57
male,group A,associate's degree,79,82,82
female,group A,associate's degree,65,85,76
female,group C,associate's degree,64,64,70
female,group C,some college,83,83,90
female,group C,bachelor's degree,81,88,90
female,group B,high school,54,64,68
male,group D,high school,68,64,66
female,group C,some college,54,48,52
female,group D,some college,59,78,76
female,group B,some high school,66,69,68
male,group E,some college,76,71,72
female,group D,master's degree,74,79,82
female,group B,associate's degree,94,87,92
male,group C,some college,63,61,54
female,group E,associate's degree,95,89,92
female,group D,master's degree,40,59,54
female,group B,some high school,82,82,80
male,group A,high school,68,70,66
male,group B,bachelor's degree,55,59,54
male,group C,master's degree,79,78,77
female,group C,bachelor's degree,86,92,87
male,group D,some college,76,71,73
male,group A,some high school,64,50,43
male,group D,some high school,62,49,52
female,group B,some high school,54,61,62
female,group B,master's degree,77,97,94
female,group C,some high school,76,87,85
female,group D,some college,74,89,84
female,group E,some college,66,74,73
female,group D,some high school,66,78,78
female,group B,high school,67,78,79
male,group D,some college,71,49,52
female,group C,associate's degree,91,86,84
male,group D,bachelor's degree,69,58,57
male,group C,master's degree,54,59,50
male,group C,high school,53,52,49
male,group E,some college,68,60,59
male,group C,some high school,56,61,60
female,group C,high school,36,53,43
female,group D,bachelor's degree,29,41,47
female,group C,associate's degree,62,74,70
female,group C,associate's degree,68,67,73
female,group C,some high school,47,54,53
male,group E,associate's degree,62,61,58
female,group E,associate's degree,79,88,94
male,group B,high school,73,69,68
female,group C,bachelor's degree,66,83,83
male,group C,associate's degree,51,60,58
female,group D,high school,51,66,62
male,group E,bachelor's degree,85,66,71
male,group A,associate's degree,97,92,86
male,group C,high school,75,69,68
male,group D,associate's degree,79,82,80
female,group C,associate's degree,81,77,79
female,group D,associate's degree,82,95,89
female,group D,master's degree,64,63,66
male,group E,some high school,78,83,80
female,group A,some high school,92,100,97
male,group C,high school,72,67,64
female,group C,high school,62,67,64
male,group C,master's degree,79,72,69
male,group C,some high school,79,76,65
male,group B,bachelor's degree,87,90,88
female,group B,associate's degree,40,48,50
male,group D,some college,77,62,64
male,group E,associate's degree,53,45,40
female,group C,some college,32,39,33
female,group C,associate's degree,55,72,79
male,group C,master's degree,61,67,66
female,group B,associate's degree,53,70,70
male,group D,some high school,73,66,62
female,group D,some college,74,75,79
female,group C,some college,63,74,74
male,group C,bachelor's degree,96,90,92
female,group D,some college,63,80,80
male,group B,bachelor's degree,48,51,46
male,group B,associate's degree,48,43,45
female,group E,bachelor's degree,92,100,100
female,group D,master's degree,61,71,78
male,group B,high school,63,48,47
male,group D,bachelor's degree,68,68,67
male,group B,some college,71,75,70
male,group A,bachelor's degree,91,96,92
female,group C,some college,53,62,56
female,group C,high school,50,66,64
female,group E,high school,74,81,71
male,group A,associate's degree,40,55,53
male,group A,some college,61,51,52
female,group B,high school,81,91,89
female,group B,some college,48,56,58
female,group D,master's degree,53,61,68
female,group D,some high school,81,97,96
female,group E,some high school,77,79,80
female,group D,bachelor's degree,63,73,78
female,group D,associate's degree,73,75,80
female,group D,some college,69,77,77
female,group C,associate's degree,65,76,76
female,group A,high school,55,73,73
female,group C,bachelor's degree,44,63,62
female,group C,some college,54,64,65
female,group A,some high school,48,66,65
male,group C,some college,58,57,54
male,group A,some high school,71,62,50
male,group E,bachelor's degree,68,68,64
female,group E,high school,74,76,73
female,group C,bachelor's degree,92,100,99
female,group C,bachelor's degree,56,79,72
male,group B,high school,30,24,15
male,group A,some high school,53,54,48
female,group D,high school,69,77,73
female,group D,some high school,65,82,81
female,group D,master's degree,54,60,63
female,group C,high school,29,29,30
female,group E,some college,76,78,80
male,group D,high school,60,57,51
male,group D,master's degree,84,89,90
male,group C,some high school,75,72,62
female,group C,associate's degree,85,84,82
female,group C,master's degree,40,58,54
female,group E,some college,61,64,62
female,group B,associate's degree,58,63,65
male,group D,some college,69,60,63
female,group C,some college,58,59,66
male,group C,bachelor's degree,94,90,91
female,group C,associate's degree,65,77,74
female,group A,associate's degree,82,93,93
female,group C,high school,60,68,72
female,group E,bachelor's degree,37,45,38
male,group D,bachelor's degree,88,78,83
male,group D,master's degree,95,81,84
male,group C,associate's degree,65,73,68
female,group C,high school,35,61,54
male,group B,bachelor's degree,62,63,56
male,group C,high school,58,51,52
male,group A,some college,100,96,86
female,group E,bachelor's degree,61,58,62
male,group D,some college,100,97,99
male,group B,associate's degree,69,70,63
male,group D,associate's degree,61,48,46
male,group D,some college,49,57,46
female,group C,some high school,44,51,55
male,group D,some college,67,64,70
male,group B,high school,79,60,65
female,group B,bachelor's degree,66,74,81
female,group C,high school,75,88,85
male,group D,some high school,84,84,80
male,group A,high school,71,74,64
female,group B,high school,67,80,81
female,group D,some high school,80,92,88
male,group E,some college,86,76,74
female,group D,associate's degree,76,74,73
male,group D,high school,41,52,51
female,group D,associate's degree,74,88,90
female,group B,some high school,72,81,79
female,group E,high school,74,79,80
male,group B,high school,70,65,60
female,group B,bachelor's degree,65,81,81
female,group D,associate's degree,59,70,65
female,group E,high school,64,62,68
female,group B,high school,50,53,55
female,group D,some college,69,79,81
male,group C,some high school,51,56,53
female,group A,high school,68,80,76
female,group D,some college,85,86,98
female,group A,associate's degree,65,70,74
female,group B,some high school,73,79,79
female,group B,some college,62,67,67
male,group C,associate's degree,77,67,64
male,group D,some high school,69,66,61
female,group D,associate's degree,43,60,58
male,group D,associate's degree,90,87,85
male,group C,some college,74,77,73
male,group C,some high school,73,66,63
female,group D,some college,55,71,69
female,group C,high school,65,69,67
male,group D,associate's degree,80,63,63
female,group C,some high school,50,60,60
female,group C,some college,63,73,71
female,group B,bachelor's degree,77,85,87
male,group C,some college,73,74,61
male,group D,associate's degree,81,72,77
female,group C,high school,66,76,68
male,group D,associate's degree,52,57,50
female,group C,some college,69,78,76
female,group C,associate's degree,65,84,84
female,group D,high school,69,77,78
female,group B,some college,50,64,66
female,group E,some college,73,78,76
female,group C,some high school,70,82,76
male,group D,associate's degree,81,75,78
male,group D,some college,63,61,60
female,group D,high school,67,72,74
male,group B,high school,60,68,60
male,group B,high school,62,55,54
female,group C,some high school,29,40,44
male,group B,some college,62,66,68
female,group E,master's degree,94,99,100
male,group E,some college,85,75,68
male,group D,associate's degree,77,78,73
male,group A,high school,53,58,44
male,group E,some college,93,90,83
female,group C,associate's degree,49,53,53
female,group E,associate's degree,73,76,78
female,group C,bachelor's degree,66,74,81
female,group D,associate's degree,77,77,73
female,group C,some high school,49,63,56
female,group D,some college,79,89,86
female,group C,associate's degree,75,82,90
female,group A,bachelor's degree,59,72,70
female,group D,associate's degree,57,78,79
male,group C,high school,66,66,59
female,group E,bachelor's degree,79,81,82
female,group B,some high school,57,67,72
male,group A,bachelor's degree,87,84,87
female,group D,some college,63,64,67
female,group B,some high school,59,63,64
male,group A,bachelor's degree,62,72,65
male,group D,high school,46,34,36
male,group C,some college,66,59,52
male,group D,high school,89,87,79
female,group D,associate's degree,42,61,58
male,group C,some college,93,84,90
female,group E,some high school,80,85,85
female,group D,some college,98,100,99
male,group D,master's degree,81,81,84
female,group B,some high school,60,70,74
female,group B,associate's degree,76,94,87
male,group C,associate's degree,73,78,72
female,group C,associate's degree,96,96,99
female,group C,high school,76,76,74
male,group E,associate's degree,91,73,80
female,group C,some college,62,72,70
male,group D,some high school,55,59,59
female,group B,some high school,74,90,88
male,group C,high school,50,48,42
male,group B,some college,47,43,41
male,group E,some college,81,74,71
female,group E,associate's degree,65,75,77
male,group E,some high school,68,51,57
female,group D,high school,73,92,84
male,group C,some college,53,39,37
female,group B,associate's degree,68,77,80
male,group A,some high school,55,46,43
female,group C,some college,87,89,94
male,group D,some high school,55,47,44
female,group E,some college,53,58,57
male,group C,master's degree,67,57,59
male,group C,associate's degree,92,79,84
female,group B,some college,53,66,73
male,group D,associate's degree,81,71,73
male,group C,high school,61,60,55
male,group D,bachelor's degree,80,73,72
female,group A,associate's degree,37,57,56
female,group C,high school,81,84,82
female,group C,associate's degree,59,73,72
male,group B,some college,55,55,47
male,group D,associate's degree,72,79,74
male,group D,high school,69,75,71
male,group C,some college,69,64,68
female,group C,bachelor's degree,50,60,59
male,group B,some college,87,84,86
male,group D,some high school,71,69,68
male,group E,some college,68,72,65
male,group C,master's degree,79,77,75
female,group C,some high school,77,90,85
male,group C,associate's degree,58,55,53
female,group E,associate's degree,84,95,92
male,group D,some college,55,58,52
male,group E,bachelor's degree,70,68,72
female,group D,some college,52,59,65
male,group B,some college,69,77,77
female,group C,high school,53,72,64
female,group D,some high school,48,58,54
male,group D,some high school,78,81,86
female,group B,high school,62,62,63
male,group D,some college,60,63,59
female,group B,high school,74,72,72
female,group C,high school,58,75,77
male,group B,high school,76,62,60
female,group D,some high school,68,71,75
male,group A,some college,58,60,57
male,group B,high school,52,48,49
male,group D,bachelor's degree,75,73,74
female,group B,some high school,52,67,72
female,group C,bachelor's degree,62,78,79
male,group B,some college,66,65,60
female,group B,some high school,49,58,55
female,group B,high school,66,72,70
female,group C,some college,35,44,43
female,group A,some college,72,79,82
male,group E,associate's degree,94,85,82
female,group D,associate's degree,46,56,57
female,group B,master's degree,77,90,84
female,group B,high school,76,85,82
female,group C,associate's degree,52,59,62
male,group C,bachelor's degree,91,81,79
female,group B,some high school,32,51,44
female,group E,some high school,72,79,77
female,group B,some college,19,38,32
male,group C,associate's degree,68,65,61
female,group C,master's degree,52,65,61
female,group B,high school,48,62,60
female,group D,some college,60,66,70
male,group D,high school,66,74,69
male,group E,some high school,89,84,77
female,group B,high school,42,52,51
female,group E,associate's degree,57,68,73
male,group D,high school,70,70,70
female,group E,associate's degree,70,84,81
male,group E,some college,69,60,54
female,group C,associate's degree,52,55,57
male,group C,some high school,67,73,68
male,group C,some high school,76,80,73
female,group E,associate's degree,87,94,95
female,group B,some college,82,85,87
female,group C,some college,73,76,78
male,group A,some college,75,81,74
female,group D,some college,64,74,75
female,group E,high school,41,45,40
male,group C,high school,90,75,69
male,group B,bachelor's degree,59,54,51
male,group A,some high school,51,31,36
male,group A,high school,45,47,49
female,group C,master's degree,54,64,67
male,group E,some high school,87,84,76
female,group C,high school,72,80,83
male,group B,some high school,94,86,87
female,group A,bachelor's degree,45,59,64
male,group D,bachelor's degree,61,70,76
female,group B,high school,60,72,68
female,group C,some high school,77,91,88
female,group A,some high school,85,90,92
female,group D,bachelor's degree,78,90,93
male,group E,some college,49,52,51
female,group B,high school,71,87,82
female,group C,some high school,48,58,52
male,group C,high school,62,67,58
female,group C,associate's degree,56,68,70
female,group C,some high school,65,69,76
female,group D,some high school,69,86,81
male,group B,some high school,68,54,53
female,group A,some college,61,60,57
female,group C,bachelor's degree,74,86,89
male,group A,bachelor's degree,64,60,58
female,group B,high school,77,82,89
male,group B,some college,58,50,45
female,group C,high school,60,64,74
male,group E,high school,73,64,57
female,group A,high school,75,82,79
male,group B,associate's degree,58,57,53
female,group C,associate's degree,66,77,73
female,group D,high school,39,52,46
male,group C,some high school,64,58,51
female,group B,high school,23,44,36
male,group B,some college,74,77,76
female,group D,some high school,40,65,64
male,group E,master's degree,90,85,84
male,group C,master's degree,91,85,85
male,group D,high school,64,54,50
female,group C,high school,59,72,68
male,group D,associate's degree,80,75,69
male,group C,master's degree,71,67,67
female,group A,high school,61,68,63
female,group E,some college,87,85,93
male,group E,some high school,82,67,61
male,group C,some high school,62,64,55
female,group B,bachelor's degree,97,97,96
male,group B,some college,75,68,65
female,group C,bachelor's degree,65,79,81
male,group B,high school,52,49,46
male,group C,associate's degree,87,73,72
female,group C,associate's degree,53,62,53
female,group E,master's degree,81,86,87
male,group D,bachelor's degree,39,42,38
female,group C,some college,71,71,80
male,group C,associate's degree,97,93,91
male,group D,some college,82,82,88
male,group C,high school,59,53,52
male,group B,associate's degree,61,42,41
male,group E,associate's degree,78,74,72
male,group C,associate's degree,49,51,51
male,group B,high school,59,58,47
female,group C,some college,70,72,76
male,group B,associate's degree,82,84,78
male,group E,associate's degree,90,90,82
female,group C,bachelor's degree,43,62,61
male,group C,some college,80,64,66
male,group D,some college,81,82,84
male,group C,some high school,57,61,54
female,group D,some high school,59,72,80
female,group D,associate's degree,64,76,74
male,group C,bachelor's degree,63,64,66
female,group E,bachelor's degree,71,70,70
female,group B,high school,64,73,71
male,group D,bachelor's degree,55,46,44
female,group E,associate's degree,51,51,54
female,group C,associate's degree,62,76,80
female,group E,associate's degree,93,100,95
male,group C,high school,54,72,59
female,group D,some college,69,65,74
male,group D,high school,44,51,48
female,group E,some college,86,85,91
female,group E,associate's degree,85,92,85
female,group A,master's degree,50,67,73
male,group D,some high school,88,74,75
